Code;Code uniek;nr;Woningtype;Bouwperiode;Subtype;Pakket;Bewonersgedrag;EI_Berekening;Binnentemperatuur;Ventilatiecorrectie;Wisselstroom;Optimale regeling;AantalPersonen;TypeWoning;TypeDak;AantalOnzelfstandigeWooneenheden;Gebruiksoppervlak;KierDichting;Type;Orientatie;VoorverwarmingVentilatielucht;WTW;SerreLagen;BalkonBreedte;BalkonBeglazing;Type;Orientatie;VoorverwarmingVentilatielucht;WTW;SerreLagen;BalkonBreedte;BalkonBeglazing;Type;m2_beganegrond;Warmteweerstand;Begrenzing;Type;m2_hellenddak;Warmteweerstand;Begrenzing;Type;m2_platdak;Warmteweerstand;Begrenzing;Type;m2_zijgevel;Warmteweerstand;Begrenzing;Type;Oppervlak;Warmteweerstand;Begrenzing;Type;m2_enkelglasvoorachtergevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_dubbelglasvoorachtergevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_hrglasvoorachtergevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_enkelzijgevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_dubbelzijgevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;m2_hrzijgevel;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;Oppervlak;Warmtedoorgang;Zontoetreding;Begrenzing;Orientatie;Type;BinnenSchil;LeidingenOnverwarmdeRuimten;IsolatieLeidingenOnverwarmdeRuimten;IndividueleBemetering;Waakvlam;PreferentToestel;OpwekkingsrendementPreferentToestel;PreferentToestelVermogen;TypeBijstook;Temperatuurniveau;RatioWKK;PreferentToestel;OpwekkingsrendementPreferentToestel;NietPreferentToestel;PreferentToestelVermogen ;NietPreferentToestelVermogen ;PompVermogen;PompRegeling;AantalAangeslotenZelfstandigeWoningen;Temperatuurniveau;Toestel;OpwekkingsrendementToestel;doucheWTW;HRww;Keukenboiler;Bad;BeperkteLeidingLengte;Circulatieleiding;IsolatieCirculatieLeiding;Voorziening;TypeWTW;RendementWTW;Aanwezig;Type;Zonnekeurlabel;OppervlakteCollectieveZonneboiler;Helling;Orientatie;Aanwezig;Type;Oppervlak;Wattpiekvermogen;Helling;Orientatie;EI;prim_TOTAAL;prim_RV;prim_TAP;prim_HULP;prim_LICHT;m3_gas;kWh_elek;kg_CO2;Code;Aantal foute codes: 0
82153;1;0;EDR Woning;1945-1964;vrijstaand;EIW 01;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;TRUE;3;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,99;134142;120676;7992;2815;2658;3658;593;6848;82153;TRUE
82163;1;0;EDR Woning;1945-1964;vrijstaand;EIW 02;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;2,47;3;2;0;2,47;1;2;48;2,47;1;3;31,2;2,61;1;3;32,4;2,61;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;TRUE;3;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;1,41;47188;33722;7992;2815;2658;1186;593;2447;82163;TRUE
82173;1;0;EDR Woning;1945-1964;vrijstaand;EIW 03;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;0;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;12;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;TRUE;3;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,69;123993;110526;7992;2815;2658;3370;593;6334;82173;TRUE
82183;1;0;EDR Woning;1945-1964;vrijstaand;EIW 04;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;3;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;TRUE;3;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;4,12;138605;125139;7992;2815;2658;3785;593;7074;82183;TRUE
82193;1;0;EDR Woning;1945-1964;vrijstaand;EIW 05;conform energielabel;TRUE;18;1;TRUE;FALSE;2,8;1;2;0;96;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;62,4;0,19;1;3;64,8;0,19;1;1;24;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;TRUE;3;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;4,29;210362;190002;12229;2815;5317;5750;881;10734;82193;TRUE
821103;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.01;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;FALSE;FALSE;FALSE;TRUE;TRUE;3;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;4,24;142583;129117;7992;2815;2658;3898;593;7275;821103;TRUE
821113;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.02;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;TRUE;1;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,99;134142;120676;7992;2815;2658;3658;593;6848;821113;TRUE
821123;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.03;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;TRUE;2;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,99;134142;120676;7992;2815;2658;3658;593;6848;821123;TRUE
821133;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.04;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;TRUE;FALSE;FALSE;TRUE;FALSE;4;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,66;123084;110790;7992;1644;2658;3377;466;6276;821133;TRUE
821143;1;0;EDR Woning;1945-1964;vrijstaand;EIW 06.05;conform energielabel;TRUE;18;1;TRUE;FALSE;1,4;1;2;0;48;FALSE;1;5;FALSE;FALSE;1;1;1;1;1;FALSE;FALSE;1;1;1;1;48;0,15;3;2;0;0,22;1;2;48;0,22;1;3;31,2;0,19;1;3;32,4;0,19;1;1;12;5,2;0,8;1;5;1;0;2,9;0,7;1;5;1;0;1,8;0,6;1;5;1;0;5,2;0,8;1;3;1;0;2,9;0,7;1;3;1;0;1,8;0,6;1;3;2;0;3,5;0;1;1;1;FALSE;FALSE;FALSE;TRUE;FALSE;5;;;1;3;;1;;1;0;0;0;FALSE;1;3;1;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;1;0;FALSE;0;FALSE;0;4;5;FALSE;0;0;;4;5;3,48;116816;104273;7992;1892;2658;3192;493;5961;821143;TRUE
